syllables:	1973
BRTZEGS	བརྩེགས
BRTZER	བརྩེར
BRTZIS	བརྩིས
BRTZOM	བརྩོམ
BRTZON	བརྩོན
BSAG	བསག
BSAGS	བསགས
BSAL	བསལ
BSAM	བསམ
BSAMS	བསམས
BSANGS	བསངས
BSDAD	བསྡད
BSDAMS	བསྡམས
BSDOD	བསྡོད
BSDOMS	བསྡོམས
BSDU	བསྡུ
BSDU'I	བསྡུའི
BSDU'O	བསྡུའོ
BSDUR	བསྡུར
BSDUS	བསྡུས
BSE	བསེ
BSGO	བསྒོ
BSGOM	བསྒོམ
BSGOMS	བསྒོམས
BSGOS	བསྒོས
BSGRAG	བསྒྲག
BSGRAGS	བསྒྲགས
BSGRE	བསྒྲེ
BSGRENG	བསྒྲེང
BSGRIBS	བསྒྲིབས
BSGRIGS	བསྒྲིགས
BSGRIL	བསྒྲིལ
BSGRIM	བསྒྲིམ
BSGRUB	བསྒྲུབ
BSGRUBS	བསྒྲུབས
BSGYINGS	བསྒྱིངས
BSGYUR	བསྒྱུར
BSHAD	བཤད
BSHAGS	བཤགས
BSHAMS	བཤམས
BSHES	བཤེས
BSHIG	བཤིག
BSHOR	བཤོར
BSIL	བསིལ
BSKAL	བསྐལ
BSKAMS	བསྐམས
BSKANG	བསྐང
BSKOR	བསྐོར
BSKRUN	བསྐྲུན
BSKUL	བསྐུལ
BSKUR	བསྐུར
BSKUS	བསྐུས
BSKYAB	བསྐྱབ
BSKYAL	བསྐྱལ
BSKYANG	བསྐྱང
BSKYANGS	བསྐྱངས
BSKYED	བསྐྱེད
BSKYOB	བསྐྱོབ
BSKYOD	བསྐྱོད
BSLAB	བསླབ
BSLABS	བསླབས
BSLAD	བསླད
BSLANGS	བསླངས
BSLU	བསླུ
BSNAMS	བསྣམས
BSNAN	བསྣན
BSNGAGS	བསྔགས
BSNGAL	བསྔལ
BSNGO	བསྔོ
BSNGOS	བསྔོས
BSNOR	བསྣོར
BSNYAD	བསྙད
BSNYEL	བསྙེལ
BSNYEN	བསྙེན
BSNYES	བསྙེས
BSNYON	བསྙོན
BSOD	བསོད
BSOG	བསོག
BSRABS	བསྲབས
BSRANG	བསྲང
BSREG	བསྲེག
BSREGS	བསྲེགས
BSRES	བསྲེས
BSRINGS	བསྲིངས
BSRUNG	བསྲུང
BSRUNGS	བསྲུངས
BSTAMS	བསྟམས
BSTAN	བསྟན
BSTANG	བསྟང
BSTEN	བསྟེན
BSTI	བསྟི
BSTOD	བསྟོད
BSTUN	བསྟུན
BTAB	བཏབ
BTAGS	བཏགས
BTANG	བཏང
BTON	བཏོན
BTUB	བཏུབ
BTUD	བཏུད
BTUNG	བཏུང
BTUS	བཏུས
BTZAL	བཙལ
BTZAN	བཙན
BTZAS	བཙས
BTZON	བཙོན
BTZUGS	བཙུགས
BTZUN	བཙུན
BU	བུ
BU'AM	བུའམ
BU'ANG	བུའང
BU'I	བུའི
BU'O	བུའོ
BUD	བུད
BUDDHA	བུདྡྷ
BUL	བུལ
BUM	བུམ
BUNG	བུང
BUR	བུར
BUS	བུས
BYA	བྱ
BYA'ANG	བྱའང
BYA'I	བྱའི
BYA'O	བྱའོ
BYAD	བྱད
BYAMS	བྱམས
BYANG	བྱང
BYANGS	བྱངས
BYAR	བྱར
BYAS	བྱས
BYE	བྱེ
BYED	བྱེད
BYI	བྱི
BYI'U	བྱིའུ
BYIN	བྱིན
BYING	བྱིང
BYINGS	བྱིངས
BYIS	བྱིས
BYON	བྱོན
BYOS	བྱོས
BYUG	བྱུག
BYUNG	བྱུང
BZA'	བཟའ
BZAD	བཟད
BZANG	བཟང
BZED	བཟེད
BZHAG	བཞག
BZHED	བཞེད
BZHENGS	བཞེངས
BZHES	བཞེས
BZHI	བཞི
BZHI'I	བཞིའི
BZHI'O	བཞིའོ
BZHIN	བཞིན
BZHIR	བཞིར
BZHIS	བཞིས
BZHON	བཞོན
BZHOS	བཞོས
BZHUGS	བཞུགས
BZLA'O	བཟླའོ
BZLAS	བཟླས
BZLOG	བཟློག
BZO	བཟོ
BZOD	བཟོད
BZUNG	བཟུང
CA	ཅ
CAD	ཅད
CAG	ཅག
CAN	ཅན
CANG	ཅང
CAR	ཅར
CE	ཅེ
CES	ཅེས
CHA	ཆ
CHA'I	ཆའི
CHAD	ཆད
CHAG	ཆག
CHAGS	ཆགས
CHANG	ཆང
CHAR	ཆར
CHAS	ཆས
CHE	ཆེ
CHE'I	ཆེའི
CHE'O	ཆེའོ
CHED	ཆེད
CHEN	ཆེན
CHER	ཆེར
CHES	ཆེས
CHO	ཆོ
CHOD	ཆོད
CHOG	ཆོག
CHOM	ཆོམ
CHOS	ཆོས
CHU	ཆུ
CHU'I	ཆུའི
CHUB	ཆུབ
CHUD	ཆུད
CHUG	ཆུག
CHUN	ཆུན
CHUNG	ཆུང
CHUR	ཆུར
CHUS	ཆུས
CI	ཅི
CI'ANG	ཅིའང
CI'I	ཅིའི
CIG	ཅིག
CING	ཅིང
CIR	ཅིར
CIS	ཅིས
CO	ཅོ
COG	ཅོག
CU	ཅུ
CU'I	ཅུའི
CUNG	ཅུང
D'UR	དཱུར
D'URYA	དཱུརྱ
DA	ད
DAD	དད
DAG	དག
DAGS	དགས
DAL	དལ
DAM	དམ
DANG	དང
DANGS	དངས
DAR	དར
DBAB	དབབ
DBANG	དབང
DBEN	དབེན
DBU	དབུ
DBUGS	དབུགས
DBUL	དབུལ
DBUR	དབུར
DBUS	དབུས
DBYANGS	དབྱངས
DBYAR	དབྱར
DBYE	དབྱེ
DBYE'I	དབྱེའི
DBYER	དབྱེར
DBYES	དབྱེས
DBYIBS	དབྱིབས
DBYIG	དབྱིག
DBYINGS	དབྱིངས
DBYU	དབྱུ
DBYUG	དབྱུག
DBYUNG	དབྱུང
DE	དེ
DE'ANG	དེའང
DE'I	དེའི
DE'O	དེའོ
DEB	དེབ
DED	དེད
DENG	དེང
DER	དེར
DES	དེས
DGA'	དགའ
DGA'I	དགའི
DGAG	དགག
DGAS	དགས
DGE	དགེ
DGE'I	དགེའི
DGE'O	དགེའོ
DGOD	དགོད
DGON	དགོན
DGONGS	དགོངས
DGOS	དགོས
DGRA	དགྲ
DGROL	དགྲོལ
DGU	དགུ
DGU'I	དགུའི
DGUN	དགུན
DGUR	དགུར
DGYES	དགྱེས
DHA	དྷ
DHARMA	དྷརྨ
DHY'A	དྷྱཱ
DI	དི
DKA'	དཀའ
DKA'I	དཀའི
DKA'O	དཀའོ
DKAR	དཀར
DKON	དཀོན
DKRI	དཀྲི
DKRIS	དཀྲིས
DKROL	དཀྲོལ
DKRUG	དཀྲུག
DKRUGS	དཀྲུགས
DKU	དཀུ
DKYIL	དཀྱིལ
DKYUS	དཀྱུས
DMA'	དམའ
DMAG	དམག
DMAN	དམན
DMANGS	དམངས
DMAR	དམར
DMIGS	དམིགས
DMUGS	དམུགས
DMUS	དམུས
DMYAL	དམྱལ
DNGANG	དངང
DNGOS	དངོས
DNGUL	དངུལ
DO	དོ
DOD	དོད
DOG	དོག
DOGS	དོགས
DON	དོན
DONG	དོང
DOR	དོར
DPA'	དཔའ
DPA'I	དཔའི
DPAG	དཔག
DPAGS	དཔགས
DPAL	དཔལ
DPAR	དཔར
DPAS	དཔས
DPE	དཔེ
DPE'I	དཔེའི
DPER	དཔེར
DPES	དཔེས
DPOG	དཔོག
DPOGS	དཔོགས
DPON	དཔོན
DPRAL	དཔྲལ
DPUNG	དཔུང
DPYAD	དཔྱད
DPYID	དཔྱིད
DPYIS	དཔྱིས
DPYOD	དཔྱོད
DRA	དྲ
DRAG	དྲག
DRAN	དྲན
DRANG	དྲང
DRANGS	དྲངས
DRES	དྲེས
DRI	དྲི
DRIL	དྲིལ
DRIN	དྲིན
DRIS	དྲིས
DRO	དྲོ
DRO'I	དྲོའི
DROD	དྲོད
DROR	དྲོར
DROS	དྲོས
DRUG	དྲུག
DRUNG	དྲུང
DRUNGS	དྲུངས
DRUS	དྲུས
DU	དུ
DU'ANG	དུའང
DU'O	དུའོ
DUB	དུབ
DUD	དུད
DUG	དུག
DUL	དུལ
DUM	དུམ
DUNG	དུང
DUS	དུས
DVAGS	དྭགས
DVANG	དྭང
DVANGS	དྭངས
DVOGS	དྭོགས
DZNY'A	ཛྙཱ
G'A'I	གཱའི
GA	ག
GA'I	གའི
GA-YA'	གཡའ
GA-YANG	གཡང
GA-YAS	གཡས
GA-YEL	གཡེལ
GA-YENG	གཡེང
GA-YENGS	གཡེངས
GA-YO	གཡོ
GA-YO'I	གཡོའི
GA-YOG	གཡོག
GA-YOGS	གཡོགས
GA-YON	གཡོན
GA-YOS	གཡོས
GA-YUL	གཡུལ
GA-YUNG	གཡུང
GAB	གབ
GAD	གད
GAL	གལ
GAM	གམ
GANG	གང
GANGG'A	གངྒཱ
GANGG'A'I	གངྒཱའི
GANGS	གངས
GAR	གར
GARBHA	གརྦྷ
GAS	གས
GCAD	གཅད
GCAN	གཅན
GCER	གཅེར
GCES	གཅེས
GCI	གཅི
GCIG	གཅིག
GCOD	གཅོད
GDAGS	གདགས
GDAM	གདམ
GDAMS	གདམས
GDAN	གདན
GDANGS	གདངས
GDEGS	གདེགས
GDENGS	གདེངས
GDOD	གདོད
GDON	གདོན
GDONG	གདོང
GDUG	གདུག
GDUL	གདུལ
GDUNG	གདུང
GDUNGS	གདུངས
GE	གེ
GE'I	གེའི
GEGS	གེགས
GHO	གྷོ
GHOSH'A	གྷོཤཱ
GI	གི
GI'AM	གིའམ
GI'O	གིའོ
GIR	གིར
GIS	གིས
GLAGS	གླགས
GLANG	གླང
GLEGS	གླེགས
GLENG	གླེང
GLING	གླིང
GLO	གློ
GLOG	གློག
GLU	གླུ
GNAD	གནད
GNAG	གནག
GNAM	གནམ
GNANG	གནང
GNAS	གནས
GNOD	གནོད
GNON	གནོན
GNYEN	གཉེན
GNYER	གཉེར
GNYI	གཉི
GNYID	གཉིད
GNYIS	གཉིས
GNYOG	གཉོག
GNYUG	གཉུག
GO	གོ
GO'U	གོའུ
GOGS	གོགས
GOL	གོལ
GOM	གོམ
GOMS	གོམས
GONG	གོང
GOO	གཽ
GOR	གོར
GOS	གོས
GRA	གྲ
GRAG	གྲག
GRAGS	གྲགས
GRANG	གྲང
GRANGS	གྲངས
GRI	གྲི
GRI'I	གྲིའི
GRIB	གྲིབ
GRIMS	གྲིམས
GRIS	གྲིས
GRO	གྲོ
GROGS	གྲོགས
GROL	གྲོལ
GRONG	གྲོང
GRONGS	གྲོངས
GROS	གྲོས
GRU	གྲུ
GRUB	གྲུབ
GRVA	གྲྭ
GRVA'I	གྲྭའི
GSAD	གསད
GSAL	གསལ
GSAN	གསན
GSANG	གསང
GSAR	གསར
GSEB	གསེབ
GSER	གསེར
GSHA'	གཤའ
GSHAM	གཤམ
GSHE	གཤེ
GSHED	གཤེད
GSHEGS	གཤེགས
GSHER	གཤེར
GSHIS	གཤིས
GSHOG	གཤོག
GSIL	གསིལ
GSO	གསོ
GSOD	གསོད
GSOG	གསོག
GSOL	གསོལ
GSON	གསོན
GSOS	གསོས
GSUM	གསུམ
GSUNG	གསུང
GSUNGS	གསུངས
GTAD	གཏད
GTAM	གཏམ
GTAN	གཏན
GTANG	གཏང
GTER	གཏེར
GTI	གཏི
GTING	གཏིང
GTOD	གཏོད
GTOGS	གཏོགས
GTONG	གཏོང
GTOR	གཏོར
GTUG	གཏུག
GTUGS	གཏུགས
GTUMS	གཏུམས
GTZANG	གཙང
GTZO	གཙོ
GTZOR	གཙོར
GTZUB	གཙུབ
GTZUBS	གཙུབས
GTZUG	གཙུག
GU	གུ
GU'I	གུའི
GUR	གུར
GUS	གུས
GYA	གྱ
GYAL	གྱལ
GYEN	གྱེན
GYI	གྱི
GYI'ANG	གྱིའང
GYIS	གྱིས
GYON	གྱོན
GYU	གྱུ
GYUR	གྱུར
GZA'	གཟའ
GZAR	གཟར
GZAS	གཟས
GZEGS	གཟེགས
GZHAG	གཞག
GZHAL	གཞལ
GZHAN	གཞན
GZHAR	གཞར
GZHI	གཞི
GZHI'I	གཞིའི
GZHIR	གཞིར
GZHOG	གཞོག
GZHOL	གཞོལ
GZHOM	གཞོམ
GZHON	གཞོན
GZHONG	གཞོང
GZHUG	གཞུག
GZHUNG	གཞུང
GZI	གཟི
GZIGS	གཟིགས
GZIMS	གཟིམས
GZINGS	གཟིངས
GZO	གཟོ
GZOD	གཟོད
GZUGS	གཟུགས
GZUNG	གཟུང
GZUNGS	གཟུངས
GZUR	གཟུར
H'A	ཧཱ
HA	ཧ
HAN	ཧན
HRIL	ཧྲིལ
HRUL	ཧྲུལ
HUD	ཧུད
HVA	ཧྭ
JE	ཇེ
JI	ཇི
JIG	ཇིག
JO	ཇོ
K'A	ཀཱ
KA	ཀ
KA'ANG	ཀའང
KA'I	ཀའི
KAN	ཀན
KAR	ཀར
KAS	ཀས
KENG	ཀེང
KHA	ཁ
KHA'I	ཁའི
KHAB	ཁབ
KHAMS	ཁམས
KHANG	ཁང
KHAS	ཁས
KHEBS	ཁེབས
KHEGS	ཁེགས
KHENGS	ཁེངས
KHO	ཁོ
KHO'I	ཁོའི
KHOG	ཁོག
KHONG	ཁོང
KHONGS	ཁོངས
KHRA	ཁྲ
KHRA'I	ཁྲའི
KHRAB	ཁྲབ
KHRAG	ཁྲག
KHREL	ཁྲེལ
KHRI	ཁྲི
KHRI'I	ཁྲིའི
KHRID	ཁྲིད
KHRIG	ཁྲིག
KHRIMS	ཁྲིམས
KHRO	ཁྲོ
KHRO'I	ཁྲོའི
KHROD	ཁྲོད
KHRON	ཁྲོན
KHROS	ཁྲོས
KHRU	ཁྲུ
KHRUS	ཁྲུས
KHU	ཁུ
KHUNG	ཁུང
KHUNGS	ཁུངས
KHUR	ཁུར
KHYAB	ཁྱབ
KHYAD	ཁྱད
KHYE'U	ཁྱེའུ
KHYED	ཁྱེད
KHYER	ཁྱེར
KHYI	ཁྱི
KHYI'U	ཁྱིའུ
KHYIM	ཁྱིམ
KHYOD	ཁྱོད
KHYON	ཁྱོན
KHYU	ཁྱུ
KLAD	ཀླད
KLAGS	ཀླགས
KLAN	ཀླན
KLAS	ཀླས
KLOG	ཀློག
KLU	ཀླུ
KLU'I	ཀླུའི
KLUNG	ཀླུང
KO	ཀོ
KRUNG	ཀྲུང
KU	ཀུ
KUN	ཀུན
KYANG	ཀྱང
KYE	ཀྱེ
KYEE	ཀྱཻ
KYI	ཀྱི
KYIR	ཀྱིར
KYIS	ཀྱིས
LA	ལ
LA'ANG	ལའང
LA'I	ལའི
LA'O	ལའོ
LAG	ལག
LAGS	ལགས
LAM	ལམ
LAN	ལན
LANG	ལང
LANGS	ལངས
LAR	ལར
LAS	ལས
LCAG	ལྕག
LCAGS	ལྕགས
LCANG	ལྕང
LCE	ལྕེ
LCE'I	ལྕེའི
LCI	ལྕི
LDABS	ལྡབས
LDAN	ལྡན
LDANG	ལྡང
LDE	ལྡེ
LDE'U	ལྡེའུ
LDING	ལྡིང
LDIR	ལྡིར
LDOG	ལྡོག
LDONGS	ལྡོངས
LE	ལེ
LE'U	ལེའུ
